,Scrape Date,Category,Thumbnail,Title,Stars,N_Ratings,Price,Availability,Description,Product Dimensions,Item Weight,Country of Origin,Number of Pieces,Batteries required,Brand,UPC,Number of Items,Manufacturer,ASIN,Best Sellers Rank,item form,finish type,skin type,color,item model number,price per unit,delivery,customer ratings,sold by,form,flavor,product benefit,is discontinued by manufacturer,weight
0,2025-03-08 17:00:08.314296,Beauty & Personal Care\Skin Care\Lip Care\Balms & Moisturizers,https://m.media-amazon.com/images/I/41fgbbSp7QL._SX300_SY300_QL70_FMwebp_.jpg,"Aquaphor Lip Repair Stick, Moisturizing Lip Balm Pack, Relieves Dryness, 0.17 Oz Stick, Pack of 2",4.6,"26,666 ratings",$8.36,In Stock,"Find long-lasting moisture from the #1 dermatologist recommended lip care brand with Aquaphor Lip Repair Sticks. Aquaphor Lip Repair immediately relieves dryness and soothes very chapped, cracked lips. Specifically formulated for sensitive lips and very dry chapped lips, this moisturizing lip balm seals in moisture and provides effective, long-lasting relief, so lips look and feel healthier. Formulated with a special combination of nourishing vitamins, moisturizers, Shea Butter, and Jojoba Oil, Aquaphor leaves lips feeling soft and comfortable. This lip balm multipack includes two Aquaphor lip balm sticks, so you can always have one nearby, to keep lips looking and feeling their best. Aquaphor Lip Repair Stick glides on easily, and is great for use in dry, cold or windy conditions. Apply Aquaphor Lip Repair Balm liberally to dry lips as often as needed. Each of the ingredients in Aquaphor skincare products are tested and approved for their quality and safety.",2.95 x 0.79 x 4.72 inches; 0.64 ounces,,Mexico,,,Aquaphor,072140025175,2,"Beiersdorf, Inc.",B07SRRLVQ1,,Stick,Glossy,Sensitive,White,072140025175,$24.59 / Ounce,"Get it as soon as Thursday, Mar 13","4.64.6 out of 5 stars26,666",Amazon.com,Stick,Unflavored,"Moisturizing,Repairing",,0.04 pounds
1,2025-03-08 17:00:08.457444,Beauty & Personal Care\Skin Care\Lip Care\Balms & Moisturizers,https://m.media-amazon.com/images/I/4110ES-l6YL._SX300_SY300_QL70_FMwebp_.jpg,"Aquaphor Lip Repair Ointment, Moisturizing Lip Balm Pack, Relieves Dryness, 0.35 Tube, Pack of 2",4.8,"9,085 ratings",$8.36,In Stock,"Find long-lasting moisture from the #1 dermatologist recommended lip care brand with Aquaphor Lip Repair Ointment. Aquaphor Lip Repair immediately relieves dryness and soothes very chapped, cracked lips. Specifically formulated for sensitive lips and very dry chapped lips, this moisturizing lip balm seals in moisture and provides effective, long-lasting relief, so lips look and feel healthier. This lip multipack includes two Aquaphor lip repair tubes, so you can always have one nearby, to keep lips looking and feeling their best. Apply Aquaphor Lip Repair liberally to dry lips as often as needed. Each of the ingredients in Aquaphor skincare products are tested and approved for their quality and safety.",2.95 x 0.79 x 4.72 inches; 0.35 ounces,,Poland,,,Aquaphor,072140022235,2,"Beiersdorf, Inc.",B06XDCPYYL,,Tube,Glossy,Dry,WHITE,B06XDCPYYL,$11.94 / Ounce,"Get it as soon as Thursday, Mar 13","4.84.8 out of 5 stars9,085",Amazon.com,Tube,Shea Butter,"Soothing, Moisturizing, Repairing",,0.35 ounces
2,2025-03-08 17:00:08.583003,Beauty & Personal Care\Skin Care\Lip Care\Balms & Moisturizers,https://m.media-amazon.com/images/I/51zkyAK1NaL._SX300_SY300_QL70_FMwebp_.jpg,"Burt's Bees Lip Balm - Beeswax, Strawberry, Coconut and Pear, and Vanilla Bean, With Responsibly Sourced Beeswax, Tint-Free, Natural Origin Lip Treatment, 4 Tubes, 0.15 oz.",4.8,"87,638 ratings",$8.98,In Stock,"Burt's Bees Lip Balm instantly softens and hydrates your lips to help prevent dryness, cracking or chapping. Infused with responsibly sourced beeswax to richly moisturize and soothe lips, the nourishing oils and butters will make your lips juicy, happy and healthy. A matte finish keeps your lips their natural color, while the tint-free tube of lip moisturizer glides on smoothly to pamper dry lips while keeping them protected and hydrated. This pack features four refreshing flavors, including Beeswax, Strawberry, Coconut and Pear, and Vanilla Bean. Formulated without parabens, phthalates, petrolatum or SLS, this flavored lip balm is 100% natural origin to rejuvenate and beautify chapped lips with clean ingredients. You can conveniently tuck a tube of this moisturizing lip balm into your pocket or purse to keep natural, nurturing lip care at your fingertips. Playing by natures rules since 1984, Burts Bees uses ingredients from nature to nourish and revitalize your skin and lips, making products that have become a staple of your household. Burts Bees is the No. 1 dermatologist-recommended natural skin care brand (1). (1) Based on a September 2021 NielsenIQ national survey of U.S. Dermatologists.",2.78 x 0.75 x 3.75 inches; 1.6 ounces,,USA,,,Burt's Bees,792850899711,4,"Burt's Bees, Inc.",B01MRH7MR4,,Cream,Natural,Dry,"""Best of"" Multipack",TU_2434636,$14.97 / Ounce,"Get it as soon as Thursday, Mar 13","4.84.8 out of 5 stars87,638",Amazon.com,Cream,Best Of Burt's,Moisturizing,No,0.1 pounds
3,2025-03-08 17:00:08.726062,Beauty & Personal Care\Skin Care\Lip Care\Balms & Moisturizers,https://m.media-amazon.com/images/I/31Z6RdO3GRL._SX300_SY300_QL70_FMwebp_.jpg,"e.l.f. Squeeze Me Lip Balm, Moisturizing Lip Balm For A Sheer Tint Of Color, Infused With Hyaluronic Acid, Vegan & Cruelty-free, Strawberry",4.5,"9,192 ratings",$4.00,In Stock,"Meet e.l.f. Cosmetics Squeeze Me Lip Balm, your new favorite lip product for hydrated and nourished lips. This moisturizing leave-on lip balm helps hydrate with a sheer tint of color and is enriched with lip-loving ingredients like hyaluronic acid, shea butter, and goji berry. Perfect for getting a boost of moisture with a sheer tint of color wherever you are. Why You’ll Love It: Lightweight, leave-on formula helps hydrate and nourish lips Sheer tint of color Easy-to-use squeeze tube and applicator for when you’re on the go Boosted with lip-loving ingredients like shea butter, hyaluronic acid, and goji berry Available in multiple delicious scents and shades Key Ingredients: Shea butter Hyaluronic acid Goji berry Great For: Normal, Dry, Oily, and Combination Skin Types Ingredients may change or vary from time to time. Please refer to the packaging of the product received for the list of ingredients in your particular product. All e.l.f. products are proud to be 100% vegan, cruelty-free, and Leaping Bunny Certified. Because kindness is chic.",0.67 x 1.18 x 4.02 inches; 0.21 ounces,,China,,,e.l.f.,609332819597,1,e.l.f. Cosmetics,B0C7W6GW8P,,Cream,Glossy,All,Strawberry,81959,$19.05 / Ounce,"Get it as soon as Thursday, Mar 13","4.54.5 out of 5 stars9,192",Amazon.com,Cream,Strawberry,"Moisturizing, nourishing, and providing sheer color",,6 grams
4,2025-03-08 17:00:08.860202,Beauty & Personal Care\Skin Care\Lip Care\Balms & Moisturizers,https://m.media-amazon.com/images/I/31iu-Vx+dTL._SX342_SY445_.jpg,"LANEIGE Lip Glowy Balm: Hydrate, Glossy, Lightweight, Moisturize & Tint with Shea Butter",4.7,"29,627 ratings",$19.00,In Stock,Not Found,0.91 x 0.91 x 3.78 inches; 0.71 ounces,,"Korea, Republic of",,,LANEIGE,,,Laneige,B07DY2QRF6,,Gel,Glossy,"All, Oily, Combination, Dry, Normal",Berry,I0092183,,,,,,,,,
5,2025-03-08 17:00:09.008928,Beauty & Personal Care\Skin Care\Lip Care\Balms & Moisturizers,https://m.media-amazon.com/images/I/41ufvpDNBWL._SX300_SY300_QL70_FMwebp_.jpg,"eos 100% Natural & Organic Lip Balm Sticks- Sweet Mint, All-Day Moisture, Dermatologist Recommended for Sensitive Skin, 0.14 oz, 2-Pack",4.7,"22,200 ratings",$5.99,In Stock,"Discover a lip balm that’s 100% natural, organic, and delicious. Freshly-picked mint from the garden creates our mellow + refreshing Sweet Mint Lip Balm. Our USDA Certified Organic, dermatologist-recommended lip balm is formulated for sensitive skin and made with soothing shea butter, weightless coconut oil, and protective antioxidants. eos lip balms use sustainably sourced ingredients that provide all-day moisture and are sure to leave your lips feeling buttery smooth, hydrated, and with a delicious taste all day long",3 x 0.79 x 5 inches; 0.14 ounces,,USA,,,eos,832992012644,2,eos,B01MAV165F,,Stick,Natural,"Normal, Combination, Dry, Oily, Sensitive",Clear,2131264,$21.39 / Ounce,"Get it as soon as Thursday, Mar 13","4.74.7 out of 5 stars22,200",Amazon.com,Stick,Sweet Mint,"Nourishing, Conditioning, Hydrating, Moisturizing, Soothing",No,0.14 ounces
6,2025-03-08 17:00:09.210878,Beauty & Personal Care\Skin Care\Lip Care\Balms & Moisturizers,https://m.media-amazon.com/images/I/412md8bJY+L._SY300_SX300_.jpg,"Blistex Medicated Lip Balm, 5 Count, 0.15 Ounce Each, Soothes and Protects, Advanced Medicated Lip Care for Dry, Chapped Lips, SPF 15 Sun Protection, Seals in Moisture, Hydrating Lip Balm",4.8,"5,001 ratings",$4.98,In Stock,"Blistex Medicated Lip balm helps prevent dryness and chapping with an easy glide formula that also soothes irritated lips. Made with three long-lasting protectants and SPF 15 for sun protection, this lip balm is exactly what you need for daily lip care. It seals in lip moisture to prevent drying of lip tissue. Temporarily protects and helps relieve chapped or cracked lips. Apply liberally 15 minutes before sun exposure and reapply at least every two hours. Use a water-resistant sunscreen if swimming or sweating. Ask a doctor before using on children under two years of age.",,,USA,,,Bistex,041388011080,5,Blistex Inc,B09LBJ2CHK,,Balm,Matte,All,,,$6.64 / Ounce,"Get it as soon as Thursday, Mar 13","4.84.8 out of 5 stars5,001",Amazon.com,Balm,Medicated Lip Balm,Moisturizing,,0.15 ounces
7,2025-03-08 17:00:09.342182,Beauty & Personal Care\Skin Care\Lip Care\Balms & Moisturizers,https://m.media-amazon.com/images/I/51jX3c0qj-L._SX300_SY300_QL70_FMwebp_.jpg,"NIVEA Moisture Lip Care, Hydrating Lip Balm with Shea Butter, Nourishing Oils and Vitamin C & E, 3-in-1 Moisture, Repair and Nourish, 0.17 Oz Stick, Pack of 4",4.6,"7,913 ratings",$8.78,In Stock,"NIVEA Moisture Lip Care is formulated to keep lips looking healthy and beautiful while providing them with long-lasting moisture. NIVEA Moisture Lip Care lip moisturizer is enriched with ethically sourced Shea Butter*, Nourishing Oils, Vitamin C and Vitamin E, and helps moisturize, soothe and nourish dry lips. This moisturizing lip balm promotes healthy-looking lips and leaves them feeling super soft and looking smooth. NIVEA Moisture Lip Care cares for your lips and the planet with a formula made of 99.5% naturally derived ingredients.** Keep this stick of NIVEA lip balm in your desk, pocket, purse or car for healthy-looking, soft lips at a moment's notice. Apply this hydrating lip balm to lips throughout the day for the ultimate lip care. From the World's No. 1 Lip Care Company.*** *Member of the Global Shea Alliance and Partner of AAK program in West Africa Kolo Nafaso. **Naturally Derived Ingredients have undergone processing while retaining a majority of their natural molecular structure. 0.5% skin safe synthetic ingredients are included to maintain the integrity of the product (Flavor) ***Euromonitor International Limited, Beauty and Personal Care 2024 edition, Beiersdorf AG, retail value RSP, 2023 data",3.27 x 0.87 x 2.87 inches; 0.7 ounces,,Germany,,,NIVEA,072140026776,4,"Beiersdorf, Inc.",B07YG8YVQW,,Balm,Natural,All,Blue,4355023743,—,"Get it as soon as Thursday, Mar 13","4.64.6 out of 5 stars7,913",Amazon.com,Balm,Moisture Lip Care,Moisturizing,,0.7 ounces
8,2025-03-08 17:00:09.476141,Beauty & Personal Care\Skin Care\Lip Care\Balms & Moisturizers,https://m.media-amazon.com/images/I/31mJBoxFgQL._SY445_SX342_QL70_FMwebp_.jpg,"LANEIGE Lip Sleeping Mask: Nourish, Hydrate, Vitamin C, Murumuru & Shea Butter, Antioxidants, Flaky, Dry Lips",4.6,"47,979 ratings",$24.00,In Stock,Not Found,2.05 x 1.89 x 2.44 inches; 0.71 ounces,,USA,,,LANEIGE,,,LANEIGE,B07XXPHQZK,,Gel,Natural,"All, Oily, Combination, Dry, Normal",Clear,8809643053273,,,,,,,,No,
9,2025-03-08 17:00:09.620215,Beauty & Personal Care\Skin Care\Lip Care\Balms & Moisturizers,https://m.media-amazon.com/images/I/418zhBRkrzL._SX300_SY300_QL70_FMwebp_.jpg,"ChapStick Moisturizer Original Lip Balm Tubes, SPF 15 and Skin Protectant - 0.15 Oz, 3 Count (Pack of 1)",4.8,"30,076 ratings",$3.88,In Stock,"ChapStick Moisturizer Original Lip Balm Tubes are an SPF 15 and skin protectant featuring an ultra-hydrating formula that softens and protects your lips at the same time. Unscented and unflavored, this Original ChapStick is a lip moisturizer. This moisturizing lip balm comes packaged in 0.15-ounce tubes that are portable and easy to apply, so you'll always have lip sun protection in a pinch. ChapStick Moisturizer 2-in-1 lip care delivers broad spectrum SPF 15 protection whether you're out for a day at the beach or going for a walk. The ultra-hydrating formula also provides up to eight hours of moisture with ingredients like aloe and vitamin E. Keep this non-tinted, paraben free lip balm in your pocket, purse or drawer whenever your lips are feeling chafed, chapped or cracked, and apply as needed. This ChapStick 3 pack keeps you stocked and hydrated for longer",0.63 x 3 x 5 inches; 0.48 ounces,,USA,,,ChapStick,305730725408,1,"Emerson Healthcare LLC for Concepts in Health, Inc",B07GVPQXRF,,Gel,Glossy,Dry,,F00573072540,$8.62 / Ounce,"Get it as soon as Thursday, Mar 13","4.84.8 out of 5 stars30,076",Amazon.com,Gel,Original- New,Moisturizing,No,0.03 pounds
10,2025-03-08 17:00:09.845187,Beauty & Personal Care\Skin Care\Lip Care\Balms & Moisturizers,https://m.media-amazon.com/images/I/41xU3AJ8VHL._SX300_SY300_QL70_FMwebp_.jpg,Cliganic USDA Organic Lip Balm Set - 6 Flavors - 100% Natural Moisturizer for Cracked & Dry Lips (Packaging May Vary),4.6,"28,495 ratings",$9.99,In Stock,"Packaging May Vary - New Look, Same Great Product. You may receive either packaging during the transition
6 Delicious Flavors - Mint Burst, Citrus, Beeswax, Eucalyptus Mint, Vanilla, and Coconut.
Perfect For Travel - Conveniently sized for your pocket or purse.
Certified Organic - Cliganic lip balms are proudly USDA organic certified to ensure ultimate quality and integrity.
100% Natural - Formulated with natural ingredients that hydrate, nourish, and protect lips, our lips balms ensure your lips stay healthy and soft. Paraben-Free. Phthalates-Free. Petrochemical-Free.
Cruelty-Free, Made in USA - Cliganic organic lip balms are proudly certified cruelty-free and made in the USA.",,,USA,,,Cliganic,855102007668,6,Cliganic,B07X62WVM4,,Stick,Natural,Dry,Assorted,CL-BE-053,$11.10 / Ounce,"Get it as soon as Thursday, Mar 13","4.64.6 out of 5 stars28,495",Cliganic™,Stick,Rainforest Fresh,Softening,,
11,2025-03-08 17:00:09.974043,Beauty & Personal Care\Skin Care\Lip Care\Balms & Moisturizers,https://m.media-amazon.com/images/I/51ceazxzuyL._SX300_SY300_QL70_FMwebp_.jpg,Aquaphor Lip Repair Ointment - Long-lasting Moisture to Soothe Dry Chapped Lips - .35 fl. oz. Tube,4.7,"45,448 ratings",$4.76,In Stock,"Find long-lasting moisture from the #1 dermatologist recommended lip care brand with Aquaphor Lip Repair Ointment. Aquaphor Lip Repair immediately relieves dryness and soothes very chapped, cracked lips. Specifically formulated for sensitive lips and very dry chapped lips, this moisturizing lip balm seals in moisture and provides effective, long-lasting relief, so lips look and feel healthier. Apply Aquaphor Lip Repair liberally to dry lips as often as needed. Each of the ingredients in Aquaphor skincare products are tested and approved for their quality and safety.",5.91 x 5.91 x 5.91 inches; 0.04 ounces,,Mexico,,,Aquaphor,077348688542 794628293905 785217490645 756567756774 793379163499 885222312359 078433508752 072140006389,1,Aquaphor,B004FHZKOA,,Liquid,Glossy,Sensitive and Dry,Multi,Aqu-7257,$13.60 / Fl Oz,"Get it as soon as Thursday, Mar 13","4.74.7 out of 5 stars45,448",Amazon.com,Liquid,Unflavored,Moisturizing,No,1 grams
12,2025-03-08 17:00:10.099794,Beauty & Personal Care\Skin Care\Lip Care\Balms & Moisturizers,https://m.media-amazon.com/images/I/51T+6mCUskL._SX342_SY445_.jpg,"Jack Black Intense Therapy Lip Balm - Jack Black Lip Balm SPF 25 Sunscreen, SPF Lip Balm for Chapped Lips, Lip Sunscreen, Lip SPF, Lip Moisturizer for Dry Lips, Lip Balm with SPF, Lip Protection",4.6,"23,781 ratings",$24.00,In Stock,Not Found,1.2 x 0.8 x 3.4 inches; 0.25 ounces,,USA,,,Jack Black,682223031131,,AmazonUs/JADY1,B07QYWXCCT,,Gel,Natural,Sensitive,Clear,,,,,,,,,,
13,2025-03-08 17:00:10.240396,Beauty & Personal Care\Skin Care\Lip Care\Balms & Moisturizers,https://m.media-amazon.com/images/I/51bIBmRnDBL._SX300_SY300_QL70_FMwebp_.jpg,"NIVEA Lip Care, Fruity Tinted Lip Balm Variety Pack, Cherry, Strawberry, Blackberry and Watermelon Flavors, 3-in-1 Moisture, Repair and Color, 0.17 Oz Stick, Pack of 4",4.6,"22,832 ratings",$9.69,In Stock,"This NIVEA Lip Care Fruit Lip Balm Variety Pack includes four delicious fresh fruit flavors that provide lips with long-lasting moisture and a touch of color. This hydrating lip balm pack includes cherry, strawberry, blackberry and watermelon. These tinted lip balms are enriched with ethically sourced Shea Butter*, Nourishing Oils, Vitamin C and Vitamin E, and help moisturize and repair dry lips. Each flavored lip balm leaves lips with a beautiful tint and subtle shine. NIVEA Lip Care colored lip balms care for your lips and the planet with a vegan formula made with no animal-derived ingredients and 98% naturally derived ingredients.** Keep a stick in your desk, pocket, purse or car for healthy-looking, soft lips at a moment's notice. From the World's No. 1 Lip Care Company.*** *Member of the Global Shea Alliance and Partner of AAK program in West Africa Kolo Nafaso. **Naturally Derived Ingredients have undergone processing while retaining a majority of their natural molecular structure. 2% skin safe synthetic ingredients are included to maintain the integrity of the product (Flavor, Yellow 6 Lake, Red 7 Lake, Blue 1 Lake) ***Euromonitor International Limited, Beauty and Personal Care 2024 edition, Beiersdorf AG, retail value RSP, 2023 data",3.27 x 0.87 x 2.87 inches; 0.68 ounces,,Mexico,,,NIVEA,072140026523,1,"Beiersdorf, Inc.",B07Y91BMSK,,Balm,Satin,All,Red,072140026523,$14.25 / Ounce,"Get it as soon as Thursday, Mar 13","4.64.6 out of 5 stars22,832",Amazon.com,Balm,"Cherry, Strawberry, Watermelon, Blackberry",Moisturizing,,0.68 ounces
14,2025-03-08 17:00:10.363132,Beauty & Personal Care\Skin Care\Lip Care\Balms & Moisturizers,https://m.media-amazon.com/images/I/2140gKcpgTL._SX300_SY300_QL70_FMwebp_.jpg,"Summer Fridays Tinted Lip Butter Balm - Conditioning Vegan Lip Balm for Instant Moisture, Shine & Hydration - Sheer-Tinted, Soothing Skincare - Pink Sugar (.5 Oz)",4.7,"3,740 ratings",$24.00,In Stock,"Discover Pink Sugar - This vegan lip balm conditions and softens dry lips with a touch of sheer pink color. Use for instant moisture and shine—and a hint of buttercream and sweet sugar flavor.
Key Ingredients - Shea Butter and Murumuru Seed Butters naturally moisturizers help to soothe, heal and condition parched lips and our unique blend of vegan waxes softens and boosts shine all day with a smooth, never-greasy texture.
The Results Are In - In an independent consumer use study with 39 participants aged 20 to 55, 100% agreed their lips looked healthier, immediately after application of the moisturizing lip balm.*
How to Use - Apply under or over lipstick whenever your lips need extra hydration throughout the day.
Welcome to the world of Summer Fridays. Gentle, yet effective skincare and hybrid makeup essentials that make routines feel effortless and skin look luminous. Formulated to optimize skin and beauty, please the mind, and bring ease and softness to everyday life.",1.88 x 1.88 x 5 inches; 0.64 ounces,,USA,,,Summer Fridays,850004852958,1,Summer Fridays,B0C42HJRBF,,Balm,Sheer,"Dry, All Skin Types",Pink Sugar,2652113,$48.00 / Ounce,"Get it as soon as Thursday, Mar 13","4.74.7 out of 5 stars3,740",Front Row Group,Gel,Butter,"Softens, Smooths, Hydrates, Moisturizes",No,
15,2025-03-08 17:00:10.487811,Beauty & Personal Care\Skin Care\Lip Care\Balms & Moisturizers,https://m.media-amazon.com/images/I/41v6JuE5xYL._SX300_SY300_QL70_FMwebp_.jpg,"Blistex Medicated Lip Balm, 0.15 Ounce, 3 Count (Pack of 1) Prevent Dryness & Chapping, SPF 15 Sun Protection, Seals in Moisture, Hydrating Lip Balm, Easy Glide Formula for Full Coverage",4.8,"36,989 ratings",$3.94,In Stock,"Blistex Medicated Lip Balm helps prevent dryness and chapping with an easy glide formula that also soothes irritated lips. Made with three long-lasting protectants and SPF 15 for sun protection, this lip balm is exactly what you need for daily lip care. It seals in lip moisture to prevent drying of lip tissue. Temporarily protects and helps relieve chapped or cracked lips. Apply liberally 15 minutes before sun exposure and reapply at least every two hours. Use a water-resistant sunscreen if swimming or sweating. Ask a doctor before using on children under two years of age. For external use only.",3.8 x 3 x 0.8 inches; 1 ounces,,USA,,,Blistex,788021648509 041388221601 490940307053 041388000466 887970758199 077344965449 764442429101,3,Blistex,B0044B4HSM,,Cream,Matte,Irritated skin,,0788021648509,$8.76 / Ounce,"Get it as soon as Thursday, Mar 13","4.84.8 out of 5 stars36,989",Amazon.com,Cream,Medicated Lip Balm,Moisturizing,No,1 ounces
16,2025-03-08 17:00:10.706179,Beauty & Personal Care\Skin Care\Lip Care\Balms & Moisturizers,https://m.media-amazon.com/images/I/51Sp85Vm44L._SX300_SY300_QL70_FMwebp_.jpg,"Burt's Bees Lip Balm, Moisturizing Lip Care, 100% Natural, Ultra Conditioning with Shea, Cocoa & Kokum Butter (4 Pack)",4.7,"18,107 ratings",$14.06,In Stock,"Burts Bees Ultra Conditioning Lip Balm instantly softens and hydrates your lips to help prevent dryness, cracking or chapping. Infused with natures finest ingredients, like kokum butter, shea butters and antioxidant-rich marula oil to replenish skin, this lip moisturizer melts on your lips to offer intense hydration. A matte finish keeps your lips their natural color, while the tint-free tube glides on smoothly with a moisturizing lip balm texture that leaves your lips richly moisturized and soft without the waxy feel. Formulated without parabens, phthalates, petrolatum or SLS, this hydrating lip balm is 100% natural origin to rejuvenate and beautify lips with clean ingredients. You can conveniently tuck a tube of this natural lip balm into your pockets or purse to keep natural, nurturing lip care at your fingertips. Use Burts Bees Lip Balm to make lips feel their best. Playing by natures rules since 1984, Burts Bees uses ingredients from nature to nourish and revitalize your skin and lips, making products that have become a staple of your household. Burts Bees is the No. 1 dermatologist-recommended natural skin care brand (1). (1) Based on a September 2021 NielsenIQ national survey of U.S. Dermatologists.",2.66 x 0.72 x 3.78 inches; 1.6 ounces,,USA,,,Burt's Bees,792850905306,4,"Burt's Bees, Inc.",B08VXNT6L2,,Cream,Natural,Dry,White,TU_30553,$23.43 / Ounce,"Get it as soon as Thursday, Mar 13","4.74.7 out of 5 stars18,107",Amazon.com,Cream,Ultra Conditioning,Moisturizing,,0.1 pounds
17,2025-03-08 17:00:10.825849,Beauty & Personal Care\Skin Care\Lip Care\Balms & Moisturizers,https://m.media-amazon.com/images/I/51GwEFSorUL._SX300_SY300_QL70_FMwebp_.jpg,"Burt's Bees Lip Balm - Pink Grapefruit, Mango, Coconut & Pear, and Pomegranate Pack, Lip Moisturizer With Beeswax, Tint-Free, Natural Origin Conditioning Treatment, 4 Tubes, 0.15 oz.",4.8,"22,737 ratings",$10.47,Only 1 left in stock - order soon.,"Burt's Bees Lip Balm instantly softens and hydrates your lips to help prevent dryness, cracking or chapping. Infused with responsibly sourced beeswax to richly moisturize and soothe lips, the nourishing oils and butters will make your lips juicy, happy and healthy. A matte finish keeps your lips their natural color, while the tint-free tube of lip moisturizer glides on smoothly to pamper dry lips while keeping them protected and hydrated. This pack features four refreshing flavors, including Pink Grapefruit, Mango, Coconut and Pear, and Pomegranate. Formulated without parabens, phthalates, petrolatum or SLS, this flavored lip balm is 100% natural origin to rejuvenate and beautify chapped lips with clean ingredients. You can conveniently tuck a tube of this moisturizing lip balm into your pocket or purse to keep natural, nurturing lip care at your fingertips. Playing by natures rules since 1984, Burts Bees uses ingredients from nature to nourish and revitalize your skin and lips, making products that have become a staple of your household. Burts Bees is the No. 1 dermatologist-recommended natural skin care brand (1). (1) Based on a September 2021 NielsenIQ national survey of U.S. Dermatologists.",2.8 x 0.7 x 3.75 inches; 0.15 ounces,,,,,Burt's Bees,885826585210 885197002583 793379231198 885405001209 801319558509 792850899711 885169554072 792850025783 885130607783 792850017948 787734569897 784179999005 885591100137 070018007353 885590330849 884784757264,4,Burt's Bees,B00HJZT0YQ,,Cream,Matte,All,Superfruit,2578,$17.45 / Ounce,"Get it as soon as Thursday, Mar 13","4.84.8 out of 5 stars22,737",Bargain Box Inc,Cream,SuperFruit,Moisturizing,No,0.15 ounces
