,Scrape Date,Category,Thumbnail,Title,Stars,N_Ratings,Price,Availability,Description,Product Dimensions,Item Weight,Country of Origin,Number of Pieces,Batteries required,Brand,UPC,Number of Items,Manufacturer,ASIN,Best Sellers Rank,fabric type,origin,department,date first available,care instructions,closure type,package dimensions,item model number
0,2025-03-08 16:25:02.124862,"Clothing, Shoes & Jewelry\Men\Uniforms, Work & Safety\Clothing\Work Utility & Safety\Pants",https://m.media-amazon.com/images/I/71HF+EQkw5L._AC_SX342_SY445_.jpg,ARIAT Men's Rebar M4 Relaxed Durastretch Made Tough Stackable Straight Leg Pant,4.5,806 ratings,$39.95 - $49.95,,"Rebar M4 Low Rise DuraStretch Made Tough Stackable Straight Leg Pant Rebarâ„ Made Tough DuraStretch Work Pants deliver strength minus the stiffness or bulk. Built-in stretch provides exceptional comfort and mobility. Our straight leg style features triple-needle stitching for added durability. 9 oz DuraStretch canvas Utility pocket and pen slot Carabiner loop Triple needle stitching at stress points 99% cotton, 1% spandex.",,,,,,,,,ARIAT,B0851774FG,,100% Cotton,Made in the USA or Imported,mens,"February 13, 2020",Machine Wash,Carabiner,16.34 x 11.69 x 2.56 inches; 1.26 Pounds,10030239
1,2025-03-08 16:25:02.334490,"Clothing, Shoes & Jewelry\Men\Uniforms, Work & Safety\Clothing\Work Utility & Safety\Pants",https://m.media-amazon.com/images/I/61XWBtSvOYL.__AC_SX342_SY445_QL70_FMwebp_.jpg,"CQR Men's Flex Ripstop Work Pants, Water Resistant Tactical Pants, Outdoor Utility Operator EDC Cargo Pants",4.4,"1,243 ratings",$47.98,In Stock,Not Found,,,Indonesia,,,,,,Tesla Gears,B098RQGZN9,,"63% Polyester, 34% Cotton, 3% Elastane",Imported,womens,"July 7, 2021",Machine Wash with low temperature or Hand Wash Recommended,Zipper,8.5 x 6.7 x 0.6 inches; 3.2 ounces,
2,2025-03-08 16:25:02.438745,"Clothing, Shoes & Jewelry\Men\Uniforms, Work & Safety\Clothing\Work Utility & Safety\Pants",https://m.media-amazon.com/images/I/61KWeCM0DuL.__AC_SY445_SX342_QL70_FMwebp_.jpg,Carhartt Men's Relaxed Fit Twill Utility Work Pant,4.4,"19,899 ratings",$44.99 - $49.99,,Carhartt Men's Relaxed Fit Twill Utility Work Pant,12 x 10 x 1 inches; 1.3 Pounds,,,,,,,,Carhartt Sportswear - Mens,B004I5TFEU,,100% Cotton,Imported,mens,"January 24, 2011",Machine Wash,Button,,B324
3,2025-03-08 16:25:02.541898,"Clothing, Shoes & Jewelry\Men\Uniforms, Work & Safety\Clothing\Work Utility & Safety\Pants",https://m.media-amazon.com/images/I/81uwpvRlRmL.__AC_SY445_SX342_QL70_FMwebp_.jpg,"Tru-Spec Men's 24-7 Series Original Tactical Pant - EDC, Hiking, Camping, and Tactical Use - 65/35 Polyester/Cotton Rip-Stop",4.6,"11,023 ratings",$58.94,Only 5 left in stock - order soon.,"Tru-Spec is committed to providing consumers with first-class men's cargo work pants. Our tactical gear is suitable for casual wear and outdoor activities like climbing, hiking, fishing, traveling, backpacking, camping, running, jogging, walking, cycling, vacationing, and beach trips. Our tactical cargo pants for men boast an engineered dimensional fit that is just right for on-duty or off-duty wear. Our army cargo pants have a metal YKK zipper, comfortable elastic waistband, angled front pockets for essential items, articulating knees for flexibility, and of course, two big cargo pockets that close with a hook & loop. These Tru-Spec tactical pants are made of polyester and cotton. You can pair these with a light tee in warm months and a sweater in fall and spring. In case you are not satisfied, we offer a 30-day hassle-free return policy. We assure you that you will receive a high-quality product for an affordable price.",,,,,,,,,Atlanco,B09W722MNB,,"65% Polyester, 35% Cotton",Imported,mens,"June 16, 2010",Machine Wash,Zipper,,3800
4,2025-03-08 16:25:02.654708,"Clothing, Shoes & Jewelry\Men\Uniforms, Work & Safety\Clothing\Work Utility & Safety\Pants",https://m.media-amazon.com/images/I/71q2xfGdWEL.__AC_SX342_SY445_QL70_FMwebp_.jpg,Dickies Men's Original 874 Work Pants,4.3,"87,501 ratings",$34.99,Usually ships within 12 to 13 days,"Get more for your money from this comfortable, good-looking utility pant. It's built of sturdy fabric for hard wear and easy care. The flattering flat front looks sharp wherever work takes you--field to the office, back shop to the back yard. Tradesmen swear by the 874's comfort and durability; office guys praise the look, fit, quality, and price. The 874 is comprised of Heavyweight 8.5 oz. twill of easy-care and 65% polyester/35% cotton. The pant comes in a wide choice of fade-resistant colors with a 26"" to 72"" waist sizing variance.",,0.3 ounces,,,,,,,Dickies Men's Sportswear,B0CN9PW4DW,,"65% Polyester, 35% Cotton",Imported,mens,"July 14, 2017",Machine Wash,Hook and Eye,,874
5,2025-03-08 16:25:02.755977,"Clothing, Shoes & Jewelry\Men\Uniforms, Work & Safety\Clothing\Work Utility & Safety\Pants",https://m.media-amazon.com/images/I/618F1FJmyLL.__AC_SY445_SX342_QL70_FMwebp_.jpg,Carhartt Men's Rugged Flex Relaxed Fit Canvas 5Pocket Work Pant,4.5,"6,703 ratings",$46.99 - $54.99,,Carhartt Men's Rugged Flex Relaxed Fit Canvas 5Pocket Work Pant,,,,,,,,,Carhartt,B08PCJLRL8,,"98% Cotton, 2% Spandex",Imported,mens,"December 1, 2020",Machine Wash,Zipper,15.2 x 12.05 x 4.06 inches; 1 Pounds,102517
6,2025-03-08 16:25:02.854190,"Clothing, Shoes & Jewelry\Men\Uniforms, Work & Safety\Clothing\Work Utility & Safety\Pants",https://m.media-amazon.com/images/I/51rrGSglWkL.__AC_SY445_SX342_QL70_FMwebp_.jpg,Carhartt Men's Rugged Flex Relaxed Fit Canvas Double-Front Utility Work Pant,4.6,"7,274 ratings",$50.00 - $59.99,,Carhartt Men's Rugged Flex Relaxed Fit Canvas Double-Front Utility Work Pant,5 x 5 x 0.7 inches; 1.43 Pounds,,,,,,,,Carhartt Sportswear - Mens,B01MR9HHD9,,"98% Cotton, 2% Spandex",Imported,mens,"July 12, 2017",Machine Wash,Button,,102802
7,2025-03-08 16:25:03.028220,"Clothing, Shoes & Jewelry\Men\Uniforms, Work & Safety\Clothing\Work Utility & Safety\Pants",https://m.media-amazon.com/images/I/71q2xfGdWEL.__AC_SX342_SY445_QL70_FMwebp_.jpg,Dickies Men's Original 874 Work Pants,4.3,"87,501 ratings",$29.99 - $46.18,,"Get more for your money from this comfortable, good-looking utility pant. It's built of sturdy fabric for hard wear and easy care. The flattering flat front looks sharp wherever work takes you--field to the office, back shop to the back yard. Tradesmen swear by the 874's comfort and durability; office guys praise the look, fit, quality, and price. The 874 is comprised of Heavyweight 8.5 oz. twill of easy-care and 65% polyester/35% cotton. The pant comes in a wide choice of fade-resistant colors with a 26"" to 72"" waist sizing variance.",,,,,,,,,Dickies,B0D367M31K,,"65% Polyester, 35% Cotton",Imported,mens,"May 2, 2024",Machine Wash,Zipper,13.3 x 12.87 x 1.81 inches; 15.2 ounces,D874BLK
8,2025-03-08 16:25:03.126775,"Clothing, Shoes & Jewelry\Men\Uniforms, Work & Safety\Clothing\Work Utility & Safety\Pants",https://m.media-amazon.com/images/I/71v5PLAOo6L.__AC_SY445_SX342_QL70_FMwebp_.jpg,Red Kap Men's Industrial Cargo Pant,4.3,"10,041 ratings",$28.50 - $28.97,,Keep the hammer handy with these cargo pants. Our Industrial Cargo Pants feature six large pockets for storage of all the essentials along with fabric that resists wrinkles. The twill fabric also comes with our Touchtex Technology for superior stain-release and color-retention capabilities to keep your pants looking fresh wash after wash.,5 x 5 x 0.7 inches; 1.1 Pounds,,,,,,,,"VF Imagewear, Inc.",B007GBZC72,,"65% Polyester, 35% Cotton",Imported,mens,"March 2, 2012",Machine Wash,Zipper,,PT88
9,2025-03-08 16:25:03.225482,"Clothing, Shoes & Jewelry\Men\Uniforms, Work & Safety\Clothing\Work Utility & Safety\Pants",https://m.media-amazon.com/images/I/619ZoUpzwlL.__AC_SX342_SY445_QL70_FMwebp_.jpg,Wrangler Riggs Workwear Men's Ranger Work Utility Pants,4.4,"26,704 ratings",$30.00 - $49.99,,Wrangler Riggs Workwear Men's Ranger Work Utility Pants,41.5 x 0.5 x 23 inches; 10 ounces,,,,,,,,Wrangler Riggs Workwear,B000A2KC7O,,100% Cotton,,mens,"March 5, 2024",Machine Wash,Zipper,,3W060BR
10,2025-03-08 16:25:03.319234,"Clothing, Shoes & Jewelry\Men\Uniforms, Work & Safety\Clothing\Work Utility & Safety\Pants",https://m.media-amazon.com/images/I/512I97S06fL.__AC_SY445_SX342_QL70_FMwebp_.jpg,"TRUEWERK Men's Work Pants - T2 WerkPant Technical Workwear, Water Resistant, Lightweight, Multi-Pocket with 4-Way Stretch",4.5,"1,964 ratings",$89.00,,"Truewerk’s most popular pants, the T2 Werkpants are redefining what should be expected of workwear. Made from our proprietary four-way stretch T2 WerkFabric, with a fully gusseted crotch, double-stitched seams, and articulated knees, the T2 Werkpants provide the right amount of mobility and durability for active physical work. Built specifically for the job site, these pants feature seven pockets, including no-snag pen and knife pockets, dual-entry cell phone pocket, and body fabric pocket bags to protect your legs from sharp pocket contents. Meet the next generation of work pants.",21.5 x 12 x 1.2 inches; 1.3 Pounds,,,,,,,,,B0CX19DMJX,,50% Nylon/40% Polyester/10% Spandex,Imported,mens,"March 4, 2024",,,,
11,2025-03-08 16:25:03.514803,"Clothing, Shoes & Jewelry\Men\Uniforms, Work & Safety\Clothing\Work Utility & Safety\Pants",https://m.media-amazon.com/images/I/81RaF1Oj7-L.__AC_SY445_SX342_QL70_FMwebp_.jpg,Amazon Essentials Men's Carpenter Pants with Tool Pockets,4.1,"5,231 ratings",$19.28 - $26.60,,"Amazon Essentials Men's Carpenter Utility Pant are made from a midweight cotton canvas. These utility pants have a relaxed fit through the hip, thigh, and leg, and sit at the waist. The classic carpenter design of these men's pants features denim-style pockets and tool loops. Our men's carpenter pants have a zip fly, metal button waistband closure, and rivet reinforcements.",,,,,,,,,Amazon Essentials,B07P4MBFTH,,100% Cotton,Imported,mens,"November 15, 2019",Machine Wash,Button,13.94 x 12.2 x 2.09 inches; 1.28 Pounds,AE1907048
12,2025-03-08 16:25:03.615283,"Clothing, Shoes & Jewelry\Men\Uniforms, Work & Safety\Clothing\Work Utility & Safety\Pants",https://m.media-amazon.com/images/I/71PEQQm6DtL.__AC_SY445_SX342_QL70_FMwebp_.jpg,"Red Kap Men's Stain Resistant, Flat Front Work Pants",4.2,"4,850 ratings",$23.49,,"The strong and durable twill fabric has superior soil-release and color-retention capabilities so you won’t be spending any time working out stains or figuring out what wash cycle is right, either. These easy-care properties mean Flat Front Work Pants are always ready to go to work.",,,,,,,,,"VF Imagewear, Inc.",B00O4VYYY4,,"65% Polyester, 35% Cotton",Made in the USA or Imported,mens,"January 17, 2015",Machine Wash,Zipper,13.98 x 12.2 x 2.8 inches; 14.99 ounces,PT20
13,2025-03-08 16:25:03.787230,"Clothing, Shoes & Jewelry\Men\Uniforms, Work & Safety\Clothing\Work Utility & Safety\Pants",https://m.media-amazon.com/images/I/61vIBD0SJ4L.__AC_SY445_SX342_QL70_FMwebp_.jpg,Carhartt Men's Rugged Flex Relaxed Fit Canvas Work Pant,4.5,"11,316 ratings",$46.99 - $54.99,,Carhartt Men's Rugged Flex Relaxed Fit Canvas Work Pant,,,,,,,,,CARHARTT,B07DHRBXCD,,"98% Cotton, 2% Spandex",Imported,mens,"June 4, 2018",Machine Wash,Zipper,16.02 x 12.44 x 3.66 inches; 1.25 Pounds,102291
